instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
SUNY Oneonta,27545,27545,37455,27545,27545,37455,12475,12475,22385,
SUNY Polytechnic Institute,25986,25986,36746,27538,27538,38298,12478,12478,23238,
Susquehanna University,73010,73010,73010,73760,73760,73760,61100,61100,61100,
Swarthmore College,80014,80014,80014,,,,,,,
Sweet Briar College,41990,41990,41990,34840,34840,34840,27740,27740,27740,
Syracuse University,80947,80947,80947,80947,80947,80947,63777,63777,63777,
Tabor College,48360,48360,48360,49550,49550,49550,38250,38250,38250,
Taft College,12291,12291,19155,24844,24844,31708,6634,6634,13498,
Talladega College,27700,27700,27700,21966,21966,21966,18766,18766,18766,
Talmudic College of Florida,31000,31000,31000,34750,34750,34750,22750,22750,22750,
Talmudical Academy-New Jersey,21300,21300,21300,34890,34890,34890,20100,20100,20100,
Talmudical Institute of Upstate New York,14550,14550,14550,26740,26740,26740,11950,11950,11950,
Talmudical Seminary of Bobov,20100,20100,20100,35070,35070,35070,18400,18400,18400,
Talmudical Seminary Oholei Torah,23200,23200,23200,31590,31590,31590,16800,16800,16800,
Talmudical Yeshiva of Philadelphia,21600,21600,21600,,,,,,,
Tarleton State University,22981,22981,32773,24770,24770,34562,12653,12653,22445,
Taylor University,52034,52034,52034,49822,49822,49822,40976,40976,40976,
Telshe Yeshiva-Chicago,20000,20000,20000,33750,33750,33750,21800,21800,21800,
Temple University,42810,42810,57283,42810,42810,57283,25739,25739,40212,
Tennessee State University,23892,23892,37248,29840,29840,43196,15942,15942,29298,
Tennessee Technological University,26984,26984,37016,26984,26984,37016,16482,16482,26514,
Tennessee Wesleyan University,39850,39850,39850,40250,40250,40250,32250,32250,32250,
Terra State Community College,21522,21522,25866,19647,19647,23991,12478,12478,16822,
Texas A & M International University,21492,21492,33028,21622,21622,33158,12412,12412,23948,
Texas A & M University-College Station,32253,32253,59153,32253,32253,59153,20703,20703,47603,
Texas A & M University-Commerce,24370,24370,36610,27740,27740,39980,15636,15636,27876,
Texas A & M University-Corpus Christi,24926,24926,35923,25322,25322,36319,14836,14836,25833,
Texas A & M University-Kingsville,23683,23683,39537,24882,24882,40736,14685,14685,30539,
Texas A&M University-San Antonio,26836,26836,40052,26836,26836,40052,16266,16266,29482,
Texas A&M University-Texarkana,24840,24840,37569,24840,24840,37569,13364,13364,26093,
Texas Christian University,73110,73110,73110,73110,73110,73110,58860,58860,58860,
Texas College,22208,22208,22208,22908,22908,22908,13808,13808,13808,
Texas Lutheran University,48750,48750,48750,48750,48750,48750,37720,37720,37720,
Texas Southern University,25459,25459,37699,29799,29799,42039,15795,15795,28035,
Texas State Technical College,23868,23868,28334,27207,27207,31673,12093,12093,16559,
Texas State University,26995,26995,38419,26995,26995,38419,14935,14935,26359,
Texas Tech University,28022,28022,40292,28022,28022,40292,17436,17436,29706,
Texas Wesleyan University,51560,51560,51560,51560,51560,51560,40641,40641,40641,
Texas Woman's University,22897,22897,32689,21619,21619,31411,11854,11854,21646,
Thaddeus Stevens College of Technology,21126,21126,21126,21676,21676,21676,12006,12006,12006,
The Ailey School,36697,36697,36697,38671,38671,38671,25041,25041,25041,
The Catholic University of America,75006,75006,75006,76806,76806,76806,58336,58336,58336,
The College of Idaho,48850,48850,48850,45530,45530,45530,38030,38030,38030,
The College of New Jersey,37856,37856,50650,37856,37856,50650,27918,27918,40712,
The College of Saint Rose,53884,53884,53884,54244,54244,54244,40058,40058,40058,
The College of Saint Scholastica,54056,54056,54056,54056,54056,54056,43060,43060,43060,
The College of the Florida Keys,21208,21208,31094,29112,29112,38998,9611,9611,19497,
The College of Wooster,73250,73250,73250,63250,63250,63250,59750,59750,59750,
The Cooper Union for the Advancement of Science and Art,69122,69122,69122,67146,67146,67146,52836,52836,52836,
The Evergreen State College,27021,27021,48330,27021,27021,48330,17415,17415,38724,
The Juilliard School,76710,76710,76710,74964,74964,74964,58294,58294,58294,
The King's College,45007,45007,45007,43078,43078,43078,23573,23573,23573,
The Master's University and Seminary,49322,49322,49322,55730,55730,55730,37366,37366,37366,
The New England Conservatory of Music,77870,77870,77870,77870,77870,77870,59350,59350,59350,
The New School,85097,85097,85097,74197,74197,74197,58197,58197,58197,
The Southern Baptist Theological Seminary,22650,22650,22650,17660,17660,17660,15200,15200,15200,
The Southwestern Baptist Theological Seminary,23910,23910,23910,26910,26910,26910,13910,13910,13910,
The University of Alabama,32024,32024,52384,32024,32024,52384,18768,18768,39128,
The University of Findlay,52845,52845,52845,48555,48555,48555,42125,42125,42125,
The University of Montana,25359,25359,47274,26859,26859,48774,15251,15251,37166,
The University of Montana-Western,19985,19985,31809,22373,22373,34197,11397,11397,23221,
The University of Olivet,47214,47214,47214,46472,46472,46472,35972,35972,35972,
The University of Tampa,50008,50008,50008,54218,54218,54218,42218,42218,42218,
The University of Tennessee Southern,27800,27800,27800,30900,30900,30900,21600,21600,21600,
The University of Tennessee-Chattanooga,24798,24798,40916,24798,24798,40916,15298,15298,31416,
The University of Tennessee-Knoxville,32658,32658,51078,32658,32658,51078,20508,20508,38928,
The University of Tennessee-Martin,22172,22172,28212,26210,26210,32250,17026,17026,23066,
The University of Texas at Arlington,29475,29475,47047,29475,29475,47047,18083,18083,35655,
The University of Texas at Austin,30246,30246,59618,30468,30468,59840,17188,17188,46560,
The University of Texas at Dallas,31078,31078,56290,31982,31982,57194,20798,20798,46010,
The University of Texas at El Paso,24384,24384,39792,27962,27962,43370,15660,15660,31068,
The University of Texas at San Antonio,23843,23843,36151,25345,25345,37653,14177,14177,26485,
The University of Texas at Tyler,25375,25375,41213,26905,26905,42743,17273,17273,33111,
The University of Texas Permian Basin,24912,24912,37152,26700,26700,38940,15082,15082,27322,
The University of Texas Rio Grande Valley,23242,23242,33037,24612,24612,34407,15440,15440,25235,
The University of the South,68704,68704,68704,68704,68704,68704,54096,54096,54096,
Thiel College,54180,54180,54180,51150,51150,51150,39950,39950,39950,
Thomas Aquinas College,40000,40000,40000,49694,49694,49694,31424,31424,31424,
Thomas College,44994,44994,44994,40096,40096,40096,33596,33596,33596,
Thomas Jefferson University,65819,65819,65819,67911,67911,67911,51104,51104,51104,
Thomas More College of Liberal Arts,39100,39100,39100,36800,36800,36800,34450,34450,34450,
Thomas More University,49436,49436,49436,51170,51170,51170,40266,40266,40266,
Thomas University,22320,22320,22320,35040,35040,35040,15060,15060,15060,
Three Rivers College,17852,19082,19082,22181,23411,23411,14041,15271,15271,
Tiffin University,46090,46090,46090,46090,46090,46090,33620,33620,33620,
Toccoa Falls College,35950,35950,35950,38850,38850,38850,28050,28050,28050,
Tohono O'Odham Community College,11332,11332,11332,14554,14554,14554,8282,8282,8282,
Tompkins Cortland Community College,22442,22442,28210,22442,22442,28210,11190,11190,16958,
Torah Temimah Talmudical Seminary,21550,21550,21550,32440,32440,32440,17650,17650,17650,
Tougaloo College,23101,23101,23101,23101,23101,23101,16661,16661,16661,
Touro University,35340,35340,35340,50230,50230,50230,28330,28330,28330,
Towson University,28720,28720,44722,28720,28720,44722,15078,15078,31080,
Transylvania University,59770,59770,59770,59770,59770,59770,47920,47920,47920,
Treasure Valley Community College,16410,16410,16860,16410,16410,16860,8571,8571,9021,
Trevecca Nazarene University,40610,40610,40610,51808,51808,51808,37060,37060,37060,
Trine University,51410,51410,51410,47690,47690,47690,39490,39490,39490,
Trinidad State College,21252,21252,24372,25437,25437,28557,12873,12873,15993,
Trinity Baptist College,24118,24118,24118,33378,33378,33378,19173,19173,19173,
Trinity Bible College and Graduate School,29824,29824,29824,32666,32666,32666,21966,21966,21966,
Trinity Christian College,48825,48825,48825,43455,43455,43455,39405,39405,39405,
Trinity College,83090,83090,83090,83090,83090,83090,66430,66430,66430,
Trinity College of Florida,27750,27750,27750,26525,26525,26525,20150,20150,20150,
Trinity International University-Illinois,48759,48759,48759,49419,49419,49419,37919,37919,37919,
Trinity University,65798,65798,65798,65798,65798,65798,59198,59198,59198,
Trinity Valley Community College,16843,19123,20173,16705,18985,20035,8407,10687,11737,
Trinity Washington University,40690,40690,40690,42220,42220,42220,29490,29490,29490,
Troy University,22977,22977,32289,25720,25720,35032,15378,15378,24690,
Truett McConnell University,38396,38396,38396,38396,38396,38396,29540,29540,29540,
Truman State University,24230,24230,32252,24230,24230,32252,14294,14294,22316,
Tufts University,84600,84600,84600,84600,84600,84600,74600,74600,74600,
Tulane University of Louisiana,83890,83890,83890,83890,83890,83890,70266,70266,70266,
Tusculum University,45122,45122,45122,44680,44680,44680,35080,35080,35080,
Tuskegee University,41924,41924,41924,42135,42135,42135,29281,29281,29281,
Tyler Junior College,18394,20194,20914,20298,22098,22818,10770,12570,13290,
Umpqua Community College,16920,16920,17388,23240,23240,23708,10667,10667,11135,
Union Adventist University,40720,40720,40720,44970,44970,44970,32970,32970,32970,
Union Bible College,15700,15700,15700,21552,21552,21552,10810,10810,10810,
Union College,81720,81720,81720,80220,80220,80220,72540,72540,72540,
Union College,44807,44807,44807,44807,44807,44807,36446,36446,36446,
Union University,56340,56340,56340,58580,58580,58580,46430,46430,46430,
United States Merchant Marine Academy,9547,9547,9547,,,,,,,
United Talmudical Seminary,22183,22183,22183,26983,26983,26983,18383,18383,18383,
United Tribes Technical College,12822,12822,12822,12612,12612,12612,6852,6852,6852,
Unity Environmental University,26524,26524,26524,23180,23180,23180,14420,14420,14420,
Universidad Adventista de las Antillas,18900,18900,18900,20260,20260,20260,13800,13800,13800,
Universidad Central de Bayamon,15954,15954,15954,15954,15954,15954,11094,11094,11094,
Universidad del Sagrado Corazon,25670,25670,25670,26470,26470,26470,16170,16170,16170,
Universidad Pentecostal Mizpa,12116,12116,12116,12652,12652,12652,8156,8156,8156,
Universidad Politecnica de Puerto Rico,28781,28781,28781,30719,30719,30719,18791,18791,18791,
University at Albany,29106,29106,46946,29238,29238,47078,14008,14008,31848,
University at Buffalo,31266,31266,49186,29726,29726,47646,15054,15054,32974,
University of Advancing Technology,30344,30344,30344,37254,37254,37254,25394,25394,25394,
University of Akron Main Campus,28357,28357,31430,28113,28113,31186,16493,16493,19566,
University of Alabama at Birmingham,28909,28909,41293,30369,30369,42753,16039,16039,28423,
University of Alabama in Huntsville,29878,29878,42770,29878,29878,42770,18756,18756,31648,
University of Alaska Anchorage,28792,28792,42919,29786,29786,43913,18030,18030,32157,
University of Alaska Fairbanks,23196,23196,37332,26196,26196,40332,14146,14146,28282,
University of Alaska Southeast,20638,20638,34774,22948,22948,37084,12076,12076,26212,
University of Arizona,31625,31625,57927,31125,31125,57427,17975,17975,44277,
University of Arkansas,28300,28300,46054,28300,28300,46054,15932,15932,33686,
University of Arkansas at Little Rock,24837,24837,35428,28733,28733,39324,15290,15290,25881,
University of Arkansas at Monticello,21773,21773,27623,24523,24523,30373,15923,15923,21773,
University of Arkansas at Pine Bluff,22444,22444,29614,19604,19604,26774,14608,14608,21778,
University of Arkansas Community College Rich Mountain,17305,17641,17881,18210,18546,18786,10083,10419,10659,
University of Arkansas-Fort Smith,21744,21744,29016,23275,23275,30547,12099,12099,19371,
University of Bridgeport,60982,60982,60982,56538,56538,56538,45542,45542,45542,
University of California-Berkeley,43043,43043,73115,38478,38478,68550,30509,30509,60581,
University of California-Davis,38556,38556,68628,33390,33390,63462,29846,29846,59918,
University of California-Irvine,37289,37289,67361,35517,35517,65589,28198,28198,58270,
University of California-Los Angeles,36980,36980,67052,36712,36712,66784,28626,28626,58698,
University of California-Merced,38907,38907,68979,29839,29839,59911,28094,28094,58166,
University of California-Riverside,37226,37226,67298,33169,33169,63241,28325,28325,58397,
University of California-San Diego,37040,37040,67112,35435,35435,65507,29101,29101,59173,
University of California-Santa Barbara,37902,37902,67974,35828,35828,65900,29982,29982,60054,
University of California-Santa Cruz,38712,38712,68784,36740,36740,66812,29273,29273,59345,
University of Central Arkansas,24648,24648,31598,26686,26686,33636,18543,18543,25493,
University of Central Florida,24036,24036,40135,24036,24036,40135,12538,12538,28637,
University of Central Missouri,22918,22918,30958,22918,22918,30958,13635,13635,21675,
University of Central Oklahoma,26362,26362,37249,31632,31632,42519,19434,19434,30321,
University of Charleston,46500,46500,46500,48000,48000,48000,36100,36100,36100,
University of Chicago,86856,86856,86856,,,,,,,
University of Cincinnati-Blue Ash College,23780,23780,32578,25176,25176,33974,10090,10090,18888,
University of Cincinnati-Main Campus,30166,30166,45530,31562,31562,46926,16476,16476,31840,
University of Colorado Boulder,33466,33466,60716,32484,32484,59734,17168,17168,44418,
University of Colorado Colorado Springs,26989,26989,39901,27389,27389,40301,15589,15589,28501,
University of Colorado Denver/Anschutz Medical Campus,31588,31588,48844,29769,29769,47025,17358,17358,34614,
University of Connecticut,37038,37038,59706,38804,38804,61472,23138,23138,45806,
University of Connecticut-Stamford,37862,37862,60530,36020,36020,58688,20354,20354,43022,
University of Dallas,66430,66430,66430,61870,61870,61870,51620,51620,51620,
University of Dayton,64310,64310,64310,64310,64310,64310,48920,48920,48920,
University of Delaware,32444,32444,54964,31644,31644,54164,17410,17410,39930,
University of Denver,76059,76059,76059,76059,76059,76059,60589,60589,60589,
University of Detroit Mercy,45618,45618,45618,52292,52292,52292,36948,36948,36948,
University of Dubuque,51400,51400,51400,54290,54290,54290,40976,40976,40976,
University of Evansville,58446,58446,58446,57080,57080,57080,45056,45056,45056,
University of Florida,21811,21811,44089,21811,21811,44089,10861,10861,33139,
University of Georgia,27542,27542,46582,26158,26158,45198,17514,17514,36554,
University of Guam,14448,14448,19752,24431,24431,29735,12587,12587,17891,
University of Hartford,64100,64100,64100,62807,62807,62807,50905,50905,50905,
University of Hawaii at Hilo,21340,21340,34300,34628,34628,47588,14252,14252,27212,
University of Hawaii at Manoa,30331,30331,52363,30331,30331,52363,16278,16278,38310,
University of Health Sciences and Pharmacy in St. Louis,54192,54192,54192,57478,57478,57478,41898,41898,41898,
University of Holy Cross,32896,32896,32896,33198,33198,33198,22730,22730,22730,
University of Houston,25801,25801,37993,26725,26725,38917,16416,16416,28608,
University of Houston-Clear Lake,23230,23230,36526,26699,26699,39995,13790,13790,27086,
University of Houston-Victoria,22401,22401,32193,22893,22893,32685,13143,13143,22935,
University of Idaho,22846,22846,42082,22846,22846,42082,12948,12948,32184,
University of Illinois Chicago,35872,35872,50480,35872,35872,50480,21272,21272,35880,
University of Illinois Springfield,26465,26465,36230,,,,16667,16667,26432,
University of Illinois Urbana-Champaign,32134,32134,50106,,,,,,,
University of Indianapolis,51612,51612,51612,51120,51120,51120,40926,40926,40926,
University of Iowa,26883,26883,48846,26883,26883,48846,15635,15635,37598,
University of Jamestown,37260,37260,37260,37260,37260,37260,28700,28700,28700,
University of Kansas,25773,25773,42641,25631,25631,42499,15637,15637,32505,
University of Kentucky,33065,33065,52482,30537,30537,49954,18389,18389,37806,
University of La Verne,66454,66454,66454,70866,70866,70866,52596,52596,52596,
University of Louisiana at Lafayette,28794,28794,42522,29180,29180,42908,17152,17152,30880,
University of Louisiana at Monroe,25403,25403,37503,26320,26320,38420,15852,15852,27952,
University of Louisville,31680,31680,48026,31988,31988,48334,21844,21844,38190,
University of Lynchburg,50610,50610,50610,50610,50610,50610,40100,40100,40100,
University of Maine,27456,27456,49056,27456,27456,49056,15406,15406,37006,
University of Maine at Augusta,21378,21378,32778,21378,21378,32778,13178,13178,24578,
University of Maine at Farmington,24724,24724,36484,24724,24724,36484,13960,13960,25720,
University of Maine at Fort Kent,21859,21859,26629,18671,18671,23441,12571,12571,17341,
University of Maine at Presque Isle,22050,22050,26460,18350,18350,22760,12250,12250,16660,
University of Mary,33348,33348,33348,36934,36934,36934,25128,25128,25128,
University of Mary Hardin-Baylor,46180,46180,46180,46180,46180,46180,36280,36280,36280,
University of Mary Washington,31084,31084,48004,28994,28994,45914,18994,18994,35914,
University of Maryland Eastern Shore,26554,26554,37384,28431,28431,39261,15918,15918,26748,
University of Maryland-Baltimore County,30795,30795,47559,34052,34052,50816,23838,23838,40602,
University of Maryland-College Park,29637,29637,57873,31801,31801,60037,16741,16741,44977,
University of Massachusetts-Amherst,33475,33475,54694,33475,33475,54694,21352,21352,42571,
University of Massachusetts-Boston,34750,34750,55723,33831,33831,54804,18998,18998,39971,
University of Massachusetts-Dartmouth,34519,34519,50657,29026,29026,45164,20526,20526,36664,
University of Massachusetts-Lowell,32732,32732,51100,25402,25402,43770,20802,20802,39170,
University of Memphis,28136,28136,32360,29742,29742,33966,18010,18010,22234,
University of Miami,79020,79020,79020,83260,83260,83260,62110,62110,62110,
University of Michigan-Ann Arbor,33556,33556,72154,33556,33556,72154,26049,26049,64647,
University of Michigan-Flint,27006,27006,39270,26198,26198,38462,18466,18466,30730,
University of Minnesota-Crookston,25940,25940,25940,25940,25940,25940,16948,16948,16948,
University of Minnesota-Duluth,27208,27208,32598,27208,27208,32598,18186,18186,23576,
University of Minnesota-Morris,26292,26292,28422,26292,26292,28422,16770,16770,18900,
University of Minnesota-Rochester,29652,29652,29652,29652,29652,29652,16770,16770,16770,
University of Minnesota-Twin Cities,31099,31099,50339,31099,31099,50339,19205,19205,38445,
University of Mississippi,27910,27910,45130,27910,27910,45130,16420,16420,33640,
University of Missouri-Columbia,29221,29221,49210,29221,29221,49210,21673,21673,41662,
University of Missouri-Kansas City,28585,28585,45058,29107,29107,45580,16837,16837,33310,
University of Missouri-St Louis,29643,29643,47910,32289,32289,50556,19913,19913,38180,
University of Mobile,43106,43106,43106,41480,41480,41480,32480,32480,32480,
University of Montevallo,28045,28045,41065,28045,28045,41065,18170,18170,31190,
University of Mount Olive,36924,36924,36924,32741,32741,32741,26741,26741,26741,
University of Mount Saint Vincent,57864,57864,57864,57864,57864,57864,44364,44364,44364,
University of Mount Union,46856,46856,46856,44142,44142,44142,39992,39992,39992,
University of Nebraska at Kearney,24848,24848,30650,24848,24848,30650,13458,13458,19260,
University of Nebraska at Omaha,23668,23668,37250,23668,23668,37250,13026,13026,26608,
University of Nebraska-Lincoln,27082,27082,44194,27082,27082,44194,14652,14652,31764,
University of Nevada-Las Vegas,25749,25749,42291,28345,28345,44887,15635,15635,32177,
University of Nevada-Reno,28835,28835,45389,28835,28835,45389,15039,15039,31593,
University of New England,61200,61200,61200,57640,57640,57640,46040,46040,46040,
University of New Hampshire at Manchester,36272,36272,55132,33874,33874,52734,20004,20004,38864,
University of New Hampshire-Main Campus,35350,35350,54260,35350,35350,54260,23224,23224,42134,
University of New Haven,66382,66382,66382,64180,64180,64180,53722,53722,53722,
University of New Mexico-Main Campus,24688,24688,43023,24688,24688,43023,13772,13772,32107,
University of New Orleans,28116,28116,32952,26410,26410,31246,15942,15942,20778,
University of North Alabama,23250,23250,33450,23250,23250,33450,15520,15520,25720,
University of North Carolina Asheville,21600,21600,38948,22700,22700,40048,12144,12144,29492,
University of North Carolina at Chapel Hill,25249,25249,53810,25249,25249,53810,12995,12995,41556,
University of North Carolina at Charlotte,23660,23660,37784,23622,23622,37746,10764,10764,24888,
University of North Carolina at Greensboro,20550,20550,35709,20884,20884,36043,12484,12484,27643,
University of North Carolina at Pembroke,18533,18533,22533,17198,17198,21198,8554,8554,12554,
University of North Carolina School of the Arts,26285,26285,43519,26285,26285,43519,12128,12128,29362,
University of North Carolina Wilmington,26466,26466,41086,26466,26466,41086,14346,14346,28966,
University of North Dakota,25367,25367,29986,25367,25367,29986,15197,15197,19816,
University of North Florida,22496,22496,36900,24337,24337,38741,12337,12337,26741,
University of North Georgia,22035,22035,32431,20025,20025,30421,10695,10695,21091,
University of North Texas,26298,26298,36090,27570,27570,37362,17000,17000,26792,
University of North Texas at Dallas,24154,24154,36394,23678,23678,35918,15488,15488,27728,
University of Northern Colorado,28794,28794,42184,28794,28794,42184,16628,16628,30018,
University of Northern Iowa,21988,21988,33142,21805,21805,32959,12645,12645,23799,
University of Northwestern Ohio,25170,25170,25170,25170,25170,25170,18170,18170,18170,
University of Northwestern-St Paul,49044,49044,49044,45730,45730,45730,42930,42930,42930,
University of Notre Dame,80211,80211,80211,80211,80211,80211,63501,63501,63501,
University of Oklahoma-Norman Campus,32673,32673,49241,32673,32673,49241,16893,16893,33461,
University of Oregon,33639,33639,60285,30255,30255,56901,18999,18999,45645,
University of Pennsylvania,85738,85738,85738,83134,83134,83134,67850,67850,67850,
University of Pikeville,34730,34730,34730,34730,34730,34730,26380,26380,26380,
University of Pittsburgh-Bradford,30010,30010,41884,30612,30612,42486,19678,19678,31552,
University of Pittsburgh-Greensburg,31508,31508,43382,30622,30622,42496,19688,19688,31562,
University of Pittsburgh-Johnstown,31184,31184,43058,30638,30638,42512,19704,19704,31578,
University of Pittsburgh-Pittsburgh Campus,37028,37028,53268,36936,36936,53176,24668,24668,40908,
University of Portland,72816,72816,72816,69624,69624,69624,54912,54912,54912,
University of Providence,42839,42839,42839,42606,42606,42606,32606,32606,32606,
University of Puget Sound,75570,75570,75570,75570,75570,75570,61140,61140,61140,
University of Redlands,75856,75856,75856,75856,75856,75856,61266,61266,61266,
University of Rhode Island,33150,33150,51632,33098,33098,51580,26770,26770,45252,
University of Richmond,77330,77330,77330,77330,77330,77330,62460,62460,62460,
University of Rio Grande,36454,36454,36676,38314,38314,38536,27148,27148,27370,
University of Rochester,82600,82600,82600,,,,,,,
University of Saint Francis-Fort Wayne,49470,49470,49470,48970,48970,48970,38750,38750,38750,
University of Saint Joseph,60356,60356,60356,61356,61356,61356,48116,48116,48116,
University of Saint Mary,46400,46400,46400,45590,45590,45590,37330,37330,37330,
University of San Diego,75767,75767,75767,78350,78350,78350,60080,60080,60080,
University of San Francisco,77854,77854,77854,77854,77854,77854,61034,61034,61034,
University of Science and Arts of Oklahoma,21130,21130,32320,21540,21540,32730,14130,14130,25320,
University of Scranton,69974,69974,69974,63684,63684,63684,56184,56184,56184,
University of Silicon Valley,44981,44981,44981,43911,43911,43911,27671,27671,27671,
University of Sioux Falls,33330,33330,33330,35590,35590,35590,24225,24225,24225,
University of South Alabama,23705,23705,32321,25205,25205,33821,15195,15195,23811,
University of South Carolina Aiken,23307,23307,33765,25828,25828,36286,15912,15912,26370,
University of South Carolina Beaufort,24773,24773,35819,25799,25799,36845,16183,16183,27229,
University of South Carolina-Columbia,29939,29939,51179,29398,29398,50638,18159,18159,39399,
University of South Carolina-Upstate,26340,26340,37302,28648,28648,39610,17848,17848,28810,
University of South Dakota,23803,23803,27313,26362,26362,29872,15579,15579,19089,
University of South Florida,24652,24652,35566,23874,23874,34788,12030,12030,22944,
University of Southern California,85064,85064,85064,85064,85064,85064,69576,69576,69576,
University of Southern Indiana,23768,23768,35813,25404,25404,37449,14210,14210,26255,
University of Southern Maine,24904,24904,39520,24904,24904,39520,13980,13980,28596,
University of Southern Mississippi,26000,26000,28000,25870,25870,27870,15562,15562,17562,
University of St Francis,51230,51230,51230,48120,48120,48120,40920,40920,40920,
University of St Thomas,67153,67153,67153,69516,69516,69516,54566,54566,54566,
University of St Thomas,47240,47240,47240,48430,48430,48430,38340,38340,38340,
University of the Arts,72914,72914,72914,71938,71938,71938,56107,56107,56107,
University of the Cumberlands,24884,24884,24884,27929,27929,27929,19289,19289,19289,
University of the Incarnate Word,51022,51022,51022,51354,51354,51354,38490,38490,38490,
University of the Ozarks,36708,36708,36708,36708,36708,36708,28350,28350,28350,
University of the Pacific,72305,72305,72305,75427,75427,75427,59208,59208,59208,
University of the Southwest,28910,28910,28910,33200,33200,33200,20000,20000,20000,
University of the Virgin Islands,19915,19915,29176,21681,21681,30942,10307,10307,19568,
University of the West,28278,28278,28278,38214,38214,38214,19944,19944,19944,
University of Toledo,31502,31502,40862,26364,26364,35724,18584,18584,27944,
University of Tulsa,65607,65607,65607,66504,66504,66504,54181,54181,54181,
University of Utah,26680,26680,47202,30255,30255,50777,15243,15243,35765,
University of Valley Forge,43660,43660,43660,40909,40909,40909,32610,32610,32610,
University of Vermont,35969,35969,60969,36494,36494,61494,24552,24552,49552,
University of Virginia's College at Wise,27427,27427,47521,25794,25794,45888,16068,16068,36162,
University of Virginia-Main Campus,38132,38132,73704,38132,38132,73704,24742,24742,60314,
University of Washington-Bothell Campus,32462,32462,60960,32462,32462,60960,17180,17180,45678,
University of Washington-Seattle Campus,32090,32090,60588,32090,32090,60588,16244,16244,44742,
University of Washington-Tacoma Campus,31040,31040,59538,31040,31040,59538,16820,16820,45318,
University of West Alabama,23626,23626,32726,23006,23006,32106,15806,15806,24906,
University of West Florida,21528,21528,34409,21528,21528,34409,10260,10260,23141,
University of West Georgia,26123,26123,37178,25413,25413,36468,14671,14671,25726,
University of Wisconsin-Eau Claire,21694,21694,30407,21694,21694,30407,11944,11944,20657,
University of Wisconsin-Green Bay,20237,20237,28455,20237,20237,28455,11667,11667,19885,
University of Wisconsin-La Crosse,18290,18290,27109,18290,18290,27109,11348,11348,20167,
University of Wisconsin-Madison,27994,27994,56625,27994,27994,56625,15100,15100,43731,
University of Wisconsin-Milwaukee,24750,24750,36615,24750,24750,36615,13854,13854,25719,
University of Wisconsin-Oshkosh,20489,20489,28062,21489,21489,29062,11595,11595,19168,
University of Wisconsin-Parkside,20180,20180,28450,20180,20180,28450,11910,11910,20180,
University of Wisconsin-Platteville,20793,20793,29731,22303,22303,31241,12721,12721,21659,
University of Wisconsin-River Falls,20069,20069,28062,20495,20495,28488,13195,13195,21188,
University of Wisconsin-Stevens Point,19670,19670,28374,19670,19670,28374,11670,11670,20374,
University of Wisconsin-Stout,21963,21963,30230,21154,21154,29421,13565,13565,21832,
University of Wisconsin-Superior,19790,19790,27363,19790,19790,27363,14350,14350,21923,
University of Wisconsin-Whitewater,19524,19524,28699,19524,19524,28699,11634,11634,20809,
University of Wyoming,22815,22815,37965,22815,22815,37965,10785,10785,25935,
UPMC Mercy School of Nursing,27561,27561,27561,36326,36326,36326,25446,25446,25446,
Upper Iowa University,48422,48422,48422,48422,48422,48422,38778,38778,38778,
Urshan College,16089,16089,16089,21184,21184,21184,12986,12986,12986,
Ursinus College,75962,75962,75962,75962,75962,75962,66708,66708,66708,
Ursuline College,51866,51866,51866,49816,49816,49816,42816,42816,42816,
Uta Mesivta of Kiryas Joel,23700,23700,23700,24100,24100,24100,21100,21100,21100,
Utah State University,22384,22384,37958,22618,22618,38192,14152,14152,29726,
Utah Tech University,21500,21500,33070,21500,21500,33070,13972,13972,25542,
Utica University,39718,39718,39718,40651,40651,40651,28151,28151,28151,
Valdosta State University,21831,21831,32886,22639,22639,33694,12909,12909,23964,
Valley City State University,20945,20945,25909,20945,20945,25909,13988,13988,18952,
Valley Forge Military College,52065,52065,52065,,,,,,,
Valor Christian College,32068,32068,32068,33258,33258,33258,15359,15359,15359,
Valparaiso University,60796,60796,60796,56516,56516,56516,47616,47616,47616,
Vanderbilt University,84412,84412,84412,,,,,,,
Vanguard University of Southern California,53150,53150,53150,62470,62470,62470,44200,44200,44200,
Vassar College,83610,83610,83610,84110,84110,84110,67050,67050,67050,
Vaughn College of Aeronautics and Technology,51010,51010,51010,63530,63530,63530,39330,39330,39330,
Vermont State University,31740,31740,45156,31740,31740,45156,19336,19336,32752,
Vernon College,15224,16184,17624,16354,17314,18754,9570,10530,11970,
Villanova University,81105,81105,81105,81105,81105,81105,66668,66668,66668,
Vincennes University,22564,22564,31649,22564,22564,31649,11332,11332,20417,
Virginia Commonwealth University,35067,35067,57025,37370,37370,59328,24640,24640,46598,
