instnm,Total price for in-district students living on campus  2022-23 (DRVIC2022),Total price for in-state students living on campus 2022-23 (DRVIC2022),Total price for out-of-state students living on campus 2022-23 (DRVIC2022),Total price for in-district students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (not with family)  2022-23 (DRVIC2022),Total price for in-district students living off campus (with family)  2022-23 (DRVIC2022),Total price for in-state students living off campus (with family)  2022-23 (DRVIC2022),Total price for out-of-state students living off campus (with family)  2022-23 (DRVIC2022),
College of Saint Benedict,66930,66930,66930,66930,66930,66930,55008,55008,55008,
College of Saint Mary,35166,35166,35166,39682,39682,39682,27360,27360,27360,
College of Southern Idaho,14750,15950,18230,13820,15020,17300,8798,9998,12278,
College of Staten Island CUNY,34813,34813,42763,32677,32677,40627,13219,13219,21169,
College of the Atlantic,56669,56669,56669,52354,52354,52354,46799,46799,46799,
College of the Holy Cross,76880,76880,76880,76880,76880,76880,66260,66260,66260,
College of the Marshall Islands,20538,20538,21178,25810,25810,26450,11910,11910,12550,
College of the Muscogee Nation,23945,23945,23945,28320,28320,28320,15650,15650,15650,
College of the Ozarks,32262,32262,32262,33388,33388,33388,25434,25434,25434,
College of the Redwoods,13498,13498,20890,18425,18425,25817,6257,6257,13649,
College of the Siskiyous,14267,14267,22667,20848,20848,29248,6196,6196,14596,
Collin County Community College District,19448,21098,23198,23798,25448,27548,10364,12014,14114,
Colorado Christian University,50206,50206,50206,49620,49620,49620,39012,39012,39012,
Colorado College,83228,83228,83228,83228,83228,83228,67622,67622,67622,
Colorado Mesa University,25443,25443,39165,24037,24037,37759,13769,13769,27491,
Colorado Mountain College,16406,18806,25646,17497,19897,26737,5086,7486,14326,
Colorado Northwestern Community College,20388,20388,22892,24443,24443,26947,11879,11879,14383,
Colorado School of Mines,39529,39529,61609,36620,36620,58700,24045,24045,46125,
Colorado State University Pueblo,28531,28531,35610,28751,28751,35830,17311,17311,24390,
Colorado State University-Fort Collins,30449,30449,50309,29132,29132,48992,16721,16721,36581,
